Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",117.450000,-34.138000,0.000000,top
"C2","22u","C_0805_2012Metric",122.500000,-38.950000,90.000000,top
"C3","10u","C_0603_1608Metric",105.750000,-23.470000,0.000000,top
"C4","100n","C_0402_1005Metric",102.000000,-28.250000,90.000000,top
"C5","100n","C_0402_1005Metric",105.692000,-25.250000,0.000000,top
"C6","100n","C_0402_1005Metric",114.300000,-29.058000,-90.000000,top
"C7","100n","C_0402_1005Metric",111.750000,-37.694000,180.000000,top
"C8","10n","C_0402_1005Metric",102.108000,-32.586000,90.000000,top
"C9","1u","C_0402_1005Metric",100.104000,-35.755000,180.000000,top
"C10","1u","C_0402_1005Metric",100.076000,-37.900000,180.000000,top
"C11","100n","C_0402_1005Metric",105.900000,-37.500000,0.000000,top
"C12","10p","C_0402_1005Metric",99.900000,-30.186000,90.000000,top
"C13","10p","C_0402_1005Metric",99.900000,-32.200000,90.000000,top
"D1","RED","LED_0603_1608Metric",126.100000,-38.594000,-90.000000,top
"FB1","120R","L_0805_2012Metric",102.108000,-36.724500,-90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",124.213000,-28.961000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",119.380000,-18.288000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",105.664000,-18.288000,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",103.124000,-43.688000,90.000000,top
"R1","1k5","R_0402_1005Metric",126.100000,-35.490000,90.000000,top
"R2","10k","R_0402_1005Metric",95.504000,-26.414000,90.000000,top
"R3","1k5","R_0402_1005Metric",117.348000,-29.056000,-90.000000,top
"R4","1k5","R_0402_1005Metric",106.170000,-40.250000,180.000000,top
"R5","1k5","R_0402_1005Metric",110.238000,-40.250000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",90.932000,-26.100000,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",117.348000,-40.132000,-90.000000,top
"U2","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",108.204000,-31.598000,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",97.150000,-31.174000,-90.000000,top
